,id,rating_gap,salary_benefits_gap,training_learning_gap,management_care_gap,culture_fun_gap,overtime_policy,working_days,company_size,like_cleaned,like_topic,Recommend?
0,4,-0.0716155127290028,0.2668332143706875,0.03949559838210792,0.11004044729954776,-0.06899833452296011,No OT,Monday - Friday,151-500 employees,môi_trường thoải_mái áp_lực làm_việc hybrid lương thỏa thuận tốt đầu . benefit cơ_bản . it_service trau_dồi cải_thiện chuyên_môn tăng_ca tăng_ca lương tăng_ca đầy_đủ luật.,2,Yes
1,4,-0.0716155127290028,-0.7331667856293125,0.03949559838210792,0.11004044729954776,-0.06899833452296011,No OT,Monday - Friday,151-500 employees,cơ_sở_vật_chất đẹp trẻ . chế_độ làm_việc hybrid giờ_giấc thoải_mái. tùy dự_án tăng_ca không_tuy_nhiên hệ_số đầy_đủ quy_định.,2,Yes
2,4,-1.0716155127290028,-0.7331667856293125,-0.9605044016178921,-0.8899595527004522,-1.0689983345229601,No OT,Monday - Friday,151-500 employees,mội thân_thiện giúp_đỡ lẫn nhau. chương_trình internship chuyên_nghiệp tổ_chức bài_bản hài_lòng hoàn_thành công_việc tăng_ca tội hơi_nóng tòa tắt .,2,Yes
3,4,-1.0716155127290028,-1.7331667856293125,-1.960504401617892,-0.8899595527004522,-0.06899833452296011,No OT,Monday - Friday,151-500 employees,env tốt. học_hỏi cải_thiện khả_năng làm_việc yên_tĩnh linh_hoạt phụ_thuộc .,1,No
4,4,-0.0716155127290028,-0.7331667856293125,0.03949559838210792,0.11004044729954776,-0.06899833452296011,No OT,Monday - Friday,151-500 employees,văn_phòng đẹp cơ_sở vật_chất tốt_sếp đồng_nghiệp thân_thiện đồng_nghiệp vui_vẻ thân_thiện suportive môi_trường làm_việc thoải_mái vui_vẻ đào_tạo .,2,Yes
5,4,-0.0716155127290028,0.2668332143706875,0.03949559838210792,0.11004044729954776,0.9310016654770399,No OT,Monday - Friday,151-500 employees,máy xách làm_việc môi_trường làm_việc thân_thiện vui_vẻ pantry đầy_đủ tiện_ích lò_vi sóng tủ_lạnh chén đũa máy . bàn giải_trí tùy đội tăng_ca không. quy_định lương_ot .,0,Yes
6,4,-0.0716155127290028,0.2668332143706875,1.039495598382108,1.1100404472995478,0.9310016654770399,No OT,Monday - Friday,151-500 employees,quán cà phê máy thuận_tiện chỗ trò giải_trí hợp_lí chính_sách rõ_ràng minh_bạch làm_việc hợp_lí tăng_ca .,0,Yes
7,4,-0.0716155127290028,0.2668332143706875,0.03949559838210792,0.11004044729954776,-0.06899833452296011,No OT,Monday - Friday,151-500 employees,máy xách thiết_bị xịn_xò môi_trường rèn_luyện tiếng đồng_nghiệp trẻ thân_thiện rèn_luyện skils kỹ_thuật lương tăng_ca rõ_ràng đội tăng_ca đội tăng_ca ít.,2,Yes
8,4,0.9283844872709972,1.2668332143706875,1.039495598382108,1.1100404472995478,0.9310016654770399,No OT,Monday - Friday,151-500 employees,sếp thân_thiện cười . học chứng_chỉ đám mây chương_trình chuyên_môn toàn cầu luyện tiếng ngày. thông_tin tôn_trọng .,0,Yes
9,4,0.9283844872709972,1.2668332143706875,1.039495598382108,1.1100404472995478,0.9310016654770399,No OT,Monday - Friday,151-500 employees,lực_lượng lao_động năng_động trẻ môi_trường làm_việc tuyệt_vời ban_nhạc âm_nhạc phòng tập_thể_dục góc thư_giãn chân trẻ_em bàn phụ_cấp bữa trưa bãi đậu du_lịch di_động intersites hoạt_động csr tòa chuyến bảo_hiểm_xã_hội đầy_đủ bảo_hiểm thất_nghiệp bảo_hiểm_y_tế sự_cố bảo_hiểm_y_tế lực_lượng lao_động năng_động trẻ.,1,Yes
